Part Name,Qty,Supplier,Sum: $2373.38,URL
"IEC Power Cable, 15A",1,Amazon,$9.09,https://www.amazon.com/Tripp-Lite-Computer-IEC-320-C13-P007-010/dp/B0027JRMD0/ref=sr_1_3?crid=1TTADOLTYLTNG&dib=eyJ2IjoiMSJ9.OwFcw5bIL6KD2kFlbWhuPm5DSnaIlqsoUmb4DWb8HTl1HPssQgalwORoggzi2ItG7KhCIIsfZMtyRQGrX3duTp4Ygqkteqzj6-0K0grykF8n-NK6sz0fZdz42j2443sBkNPwcInyDlKg7EWvdHEb73ySmgM1LUnzkQA3Bqj7I5T_v2IIfi6qJwZAjoKzUQuKFgKQbRxhZ7txn9Gs5y0Av_3RTRfrXFGa7FXtBYSyMko.NuL0oH8OdjBZ1JchApUgqB4n-XYZse52Ip5NCO0x3TA&dib_tag=se&keywords=iec%2Bpower%2Bcable%2B15a&qid=1710287764&sprefix=iec%2Bpower%2Bcable%2B15a%2Caps%2C149&sr=8-3&th=1
WAGO 2P (221-412),6,Amazon,$16.38,https://www.amazon.com/WAGO-221-412-VE00-2500-221-Conductor/dp/B073486KNT/ref=sr_1_1?crid=3KNICLSJKV8DF&dib=eyJ2IjoiMSJ9.IWvrkgFOHiGJwrck8cqUXtaLyBTKSkvyIcLI5wYptV5K_JMj7xw4n5be-MCOw708NtFbKuERQF0dI_EBrS2ib4XWKrt1UwoOx4PV4fd68pUrBT75Qjy2TTUbWcEHzBvznzKyKiZ01nDECRxGpMioDUDYP49bVaLWNGqO-JwJ4LrAgRSW7GmupG8BzRiARMEH4_1M7j_Ai4gIJ8tk3UuWZEJHUyAyWSQa1CqWq3NsFtU.nLm8WvRWM5VjCucdoa2fu25KlRK0TVigjqObGhufaj4&dib_tag=se&keywords=wago+221-412&qid=1721896523&sprefix=wago+221-412%2Caps%2C142&sr=8-1
WAGO 5P (221-415),2,Amazon,$15.79,https://www.amazon.com/WAGO-221-415-Lever-Nuts-5-Conductor-Connectors/dp/B07WC2XBMK/ref=sr_1_1_sspa?crid=NHB23L91K2ET&dib=eyJ2IjoiMSJ9.ufZMq6rxEH1p3GlzDh5QEicb_oWszmkcvk6BA6-OqyABtkF2JknpVULkbDVprWFA5uMgpeSHmY18tjw3Kk34iURiOyrCmwfQt7gtzXoBQ3DUpTtdoM86FIxYVsFIuuu_ezhjiU9h5O6wfKZi5gKBbyxnhvceqy1iBrFBFubWkBnHSCsv7XrbNZS9V6nLVhfqxWNyP_47BqhGLyl-YBvbYvw0vs6kuGWEJDJjjOirgE0.pbyP2GhEZ8SB2cayY6gp7JWY3OeBhk61iK9xHyfG2Zs&dib_tag=se&keywords=wago+221-415&qid=1721896666&sprefix=wago+221-415%2Caps%2C138&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Bracket_Blind Corner_2020,4,Amazon,$9.99,https://www.amazon.com/Bracket-Connector-Aluminum-Extrusion-Accessories/dp/B0B618MDX5/ref=sr_1_3?crid=3VJZDV7C3CROL&dib=eyJ2IjoiMSJ9.d-OCuH4yVE2uNXL7xiVHIdhBKaLeGICr5h_AZ1sV4uuic8erxq6t39Ywa1lasYJUAOz4fYLulBEocqK2hIdV2k8GHxZQkZAgDUBT-Scxg52p5lyWxCzX9FtdzBu5h4g1ZNoU9shrFges6A0QDOpLJRIHmLy0ZwC2zSNhmELAaBCYlDzfvCgupn9ZLmQ6-M4VRjWAzNx-_PP-wWCfg5EAgTgT8ubqwCq7X8SDtms3Nk8.aK9NyevGH_ODKSGRblHWQ-g02ARmGL9-OQSvtWYAc1A&dib_tag=se&keywords=2020%2Bseries%2BT%2BSlot%2BInside%2BCorner%2BConnector&qid=1736758330&sprefix=2020%2Bseries%2Bt%2Bslot%2Binside%2Bcorner%2Bconnector%2Caps%2C117&sr=8-3&th=1
Spherical Bearing - GE5C,2,Amazon,$8.59,https://www.amazon.com/HARFINGTON-Spherical-Bearing-5mmx14mmx6mm-Sealed/dp/B0BX3X8QR2/ref=sr_1_1?crid=2EHEZVLSB9TVG&dib=eyJ2IjoiMSJ9.f7k-AShjnGfpasYRa4ZxhSYj3UzihaEIYLNq-mVDad3EdG37xdVc896cMPE__3EgSh8RJNf7Fks59Mxo4328HEKbfR6ASxA1OaeFoSZ-KUfJv8c39TAm3R_VzoNqZ6hYPVC9cCYijgFiD0CJGDw3Uu7WQwTRBIMbEJEYKZHID5gCUtx9gdWx_SuM9IILng65WYeLtKRBym-PsGWsMxGKVzzTYTEYPSfRXXrVL4_-QQ_C1kNxtGLeKihc_CkirWI7RN4jTD9JVMqtNljI1rQHxKUDyYNm-CJpQkZMt81OQOA.HR_b_jGGpSFPPqZo-1j6g-5mtXef1jof-EwJmDEOoxQ&dib_tag=se&keywords=ge5c&qid=1710295844&s=industrial&sprefix=ge5c%2Cindustrial%2C197&sr=1-1&th=1
"1.5mmx10mm Pin, Stainless",28,Amazon,$8.49,https://www.amazon.com/gp/product/B0BFRQW71Q?psc=1
M6x250mm Shaft,1,Amazon,$7.49,https://www.amazon.com/uxcell-250mm-Stainless-Steel-Solid/dp/B082ZNYL7L/ref=sr_1_1?crid=O4SC5UCCQA16&dib=eyJ2IjoiMSJ9.eqep_W2htGjtPPQdJY4i0ZROP5h1vTD4XWf3A-FqdLT1ku9xm73AG19m7tcnaEm9Won24Md6wQEzAuOi0ZqVvqddBYDmNSXkeVqPuRJfkoyXMNFq_Zwn7e5HhHwrIWao9l-xVMMUkKMDnwOB7QWk_JuCvkeVCkiwxQ6d4_ztflfaASmwHFOHnaQ1GyhodRTwQWvZBKBUpXelV4qpSYSkNkdzO8VKUrjX23Y2XbNPlcHHSICs9pPOSq2vhlKENP_aDJCJF8bM-EzSY5vFtPx0iPR2xAgsBTrhSeeLDJTaDJA.RHt-l3AhGnQvNSgTuBUergi301tVLzDd-vjOtJ5aOQo&dib_tag=se&keywords=6x250+stainless+shaft&qid=1721942991&s=industrial&sprefix=6x250+stainless+shaf%2Cindustrial%2C115&sr=1-1
M5x20 Dowel Pin,4,Amazon,$6.99,https://www.amazon.com/Stainless-Shelves-Hardware-Support-Fastener/dp/B0D1VB4D1L/ref=sr_1_2?crid=14S8BAS7OAK0P&dib=eyJ2IjoiMSJ9.F67v-NbP5QlN6IwGEdbkVSmzTQCOrwQbJAlP3PPZPdP6ehartPQdAsksxobRRmDUBrxIfnmrvjSr_KWqg5yt_2e6LL5RPmOK2rOC5FDrpBS_qBdw4i2lEoeoFmQwDguZMyRHNl1EMqo2YFnCTG6Hn-QDDlpZpJx0puNbsSZTGnKHWH5giCkTOusC3B8lnsjkirDE-V76No1w4PbXjybGErJ3Oe_g0Ha00-bxMR8PeyH4s1yYYtyWq8bz3M8ptEdFluHyoPc-AxC8Hj5DZw_zl2_H4954F9wKw_WXvO9D6xI.TFGxELFKMwgueA0k3TSyRcPX8DuWJtC8pihNbr0HUwM&dib_tag=se&keywords=5x20%2Bstainless%2Bdowel%2Bpin&qid=1721943368&s=industrial&sprefix=5x20%2Bstainless%2Bdowel%2Bpin%2Cindustrial%2C115&sr=1-2&th=1
"Shaft Coupler, plum coupling, 8mmIDx5mmIDx20mmOD, 25mm long",4,Amazon,$23.98,https://www.amazon.com/Zeberoxyz-Aluminium-Diameter20mm-Length25mm-Motor%EF%BC%885x8mm%EF%BC%89/dp/B08QV7SVH7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.l_LaHOANUgP-7B-ZC19J7BVWRJWmF8CRu9rdq5mKxLLZh7z3e8W44qDFCvYKybfuGxWYmZ9JlRYdKeZh-5gRojOg1cdFsESr9_LBjOlJP-l0RN1ke1oJIVX4CtvsoPyKkK49pq5lBa3dI2N09dRZ-3xny0mddRxnMHCZAx8EZrdNDdHzPylR439TFBeqiWlQiMR9RtLKEFrk61x1wX686QTCg-2PWlyGfE_vTir7FaU.2b28wZCnOHriOX4oWobJuq8oLlgRMw9z02Vg7hf7oCs&dib_tag=se&keywords=Shaft+Coupler%2C+plum+coupling%2C+8mmIDx5mmIDx20mmOD%2C+25mm+long&qid=1736759797&sr=8-3
M5x80mm threaded rod,4,Amazon,$7.79,https://www.amazon.com/MECCANIXITY-Fully-Threaded-Thread-Stainless/dp/B0BLGN54FS/ref=sr_1_15?crid=3SJ1EJFHMNZB4&dib=eyJ2IjoiMSJ9.2ZEU5lJrs-xtfbINoIb_6YSjCqzkjIhXehsKn9Sbiwt5MMwyvw8CwfRbgAOnmldB8Ek545d23LVyYtwY4yElsIQ7WYwOhfV3jum8ebeWYJDd-RFvx7T5PmHClRORaBCVo3t94F-30WB5BtwkeV1cAxLlMA3pdg7l0vw1fxz2PlqWrEtIAcLMhw6YKi3_Hf10WMGtsb6j3gkaLBdn0TqEym94zbYcFMGIr1F7ErA8CTg._JfIb0MYEPHgVXIcKc1mA2dPqK6F8B0kxC2_JjbpUzA&dib_tag=se&keywords=m5x80mm%2Bthreaded%2Brod&qid=1710299595&sprefix=m5x80mm%2Bthreaded%2Bro%2Caps%2C132&sr=8-15&th=1
